,ForceType,Sex,Race,TypeOfResistance,Neighborhood,Problem,PrimaryOffense,CenterLatitude,CenterLongitude
249,Bodily Force,Male,White,Commission of Crime,East Phillips,Suspicious Person ,OBSTRU,44.959744,-93.24702
250,Bodily Force,Male,White,Commission of Crime,Downtown West,Code 3 ,MISC,44.980808,-93.273141
251,Bodily Force,Male,Asian,Fled on Foot,Sumner - Glenwood,Theft ,BURGTL,44.98883,-93.29104
252,Bodily Force,Male,Black,Fled in Vehicle,Near - North,Traffic Law Enforcement ,FLEE,44.999153,-93.293351
253,Bodily Force,Male,Black,Verbal Non-Compliance,Jordan,Person with a Weapon ,OBSTRU,45.011326,-93.294958
254,Taser,Male,Native American,Fled on Foot,Midtown Phillips,Suspicious Person ,AOA,44.951946,-93.256919
255,Chemical Irritant,Female,Black,Assaulted Officer,Willard - Hay,Suspicious Vehicle ,OBSTRU,44.986105,-93.311588
256,Bodily Force,Male,White,Fled in Vehicle,Near - North,Motor Vehicle Chase ,FLEE,44.984396,-93.304503
257,Bodily Force,Male,Asian,Fled on Foot,Folwell,Chase on Foot ,OBSTRU,45.021359,-93.307014
258,Bodily Force,Male,Black,Fled in Vehicle,Downtown West,Traffic Law Enforcement ,FLEE,44.978019,-93.277025
259,Bodily Force,Male,Black,Tensed,Downtown West,Disturbance ,DISCON,44.981232,-93.268587
260,Taser,Male,Black,Tensed,Jordan,Traffic Law Enforcement ,NARC,45.013232,-93.306344
261,Bodily Force,Male,Black,Tensed,Cleveland,Domestic Abuse-In Progress ,DASLT5,45.015051,-93.312704
262,Bodily Force,Male,White,Verbal Non-Compliance,Morris Park,Domestic ,OBSTRU,44.903566,-93.218444
263,Bodily Force,Male,Black,Tensed,Downtown West,Suspicious Person ,DISCON,44.980065,-93.271883
264,Bodily Force,Male,Black,Commission of Crime,Downtown West,Fight ,ASLT4,44.979626,-93.272499
265,Taser,Female,White,Verbal Non-Compliance,Midtown Phillips,Miscellaneous ,AOA,44.956435,-93.258781
266,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,NARC,44.978407,-93.278819
267,Bodily Force,Male,Black,Commission of Crime,Hawthorne,Suspicious Person ,NARC,44.999677,-93.2802
268,Bodily Force,Male,Native American,Tensed,Jordan,Domestic Abuse-In Progress ,DASLT5,45.005399,-93.298045
269,Bodily Force,Male,White,Fled on Foot,Lowry Hill East,Damage Property-In Progress,OBSTRU,44.955542,-93.288675
270,Taser,Male,Black,Tensed,Phillips West,Suspicious Vehicle ,NARC,44.9609,-93.267033
271,Bodily Force,Male,White,Tensed,Waite Park,Damage Property-In Progress,OBSTRU,45.028618,-93.228153
272,Chemical Irritant,Female,Black,Unspecified,Downtown West,Fight ,DISCON,44.982469,-93.271954
273,Bodily Force,Male,White,Assaulted Officer,Cedar Riverside,Emotionally Disturb Person ,ASLT4,44.967757,-93.239211
274,Taser,Female,White,Tensed,Bottineau,Unwanted Person ,FORCE,45.005276,-93.263861
275,Bodily Force,Male,Black,Tensed,Cleveland,Domestic Abuse-In Progress ,DASLT5,45.015051,-93.312704
276,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Fight ,ASLT4,44.979626,-93.272499
277,Bodily Force,Male,Black,Commission of Crime,North Loop,Fight ,DISCON,44.982827,-93.274773
278,Taser,Male,Black,Fled on Foot,Holland,Suspicious Vehicle ,FLEEFT,45.012669,-93.263123
279,Bodily Force,Male,Black,Tensed,Webber - Camden,Suspicious Person ,OBSTRU,45.029365,-93.288728
280,Bodily Force,Female,Native American,Fled in Vehicle,Central,Suspicious Vehicle ,FLEE,44.944978,-93.269628
281,Bodily Force,Male,Black,Verbal Non-Compliance,Willard - Hay,Suspicious Vehicle ,MJINMV,44.991504,-93.307598
282,Bodily Force,Male,White,Tensed,Waite Park,Damage Property-In Progress,OBSTRU,45.028618,-93.228153
283,Bodily Force,Male,White,Assaulted Officer,Marcy Holmes,Fight ,OBSTRU,44.980009,-93.236171
284,Police K9 Bite,Male,Black,Fled on Foot,Willard - Hay,Burglary Dwlng In Progress ,BURGD,44.989734,-93.317197
285,Bodily Force,Male,Black,Tensed,Victory,Unknown Trouble ,OBSTRU,45.025002,-93.313448
286,Police K9 Bite,Male,Native American,Fled on Foot,Powderhorn Park,Robbery of Person ,ROBPAG,44.948364,-93.255682
287,Bodily Force,Male,White,Assaulted Officer,Marcy Holmes,Fight ,OBSTRU,44.980009,-93.236171
288,Bodily Force,Male,Unknown,Fled in Vehicle,Willard - Hay,Suspicious Vehicle ,FLEE,45.00257,-93.310768
289,Taser,Male,Native American,Verbal Non-Compliance,Midtown Phillips,Person with a Weapon ,CIC,44.954632,-93.257534
290,Bodily Force,Male,Other / Mixed Race,Tensed,Whittier,Disturbance ,WT,44.952844,-93.282979
291,Bodily Force,Male,Native American,Commission of Crime,Loring Park,Suspicious Person ,IPROST,44.971704,-93.284807
292,Bodily Force,Female,Native American,Tensed,Midtown Phillips,Traffic Law Enforcement ,OBSTRU,44.953739,-93.253096
293,Bodily Force,Male,White,Verbal Non-Compliance,Bancroft,Suspicious Person ,FLEEFT,44.93233,-93.255554
294,Taser,Male,Black,Fled on Foot,Central,Suspicious Person ,OBSTRU,44.944978,-93.269628
295,Bodily Force,Male,Black,Fled in Vehicle,Jordan,Suspicious Person ,FLEE,45.011433,-93.307598
296,Bodily Force,Male,Black,Tensed,Loring Park,Theft ,OBSTRU,44.967891,-93.277816
297,Bodily Force,Male,White,Tensed,Jordan,Traffic Law Enforcement ,OBSTRU,45.011441,-93.311431
298,Bodily Force,Male,Black,Commission of Crime,Downtown West,Fight ,OBSTRU,44.981655,-93.271963
299,Bodily Force,Male,Black,Unspecified,Willard - Hay,Suspicious Person ,OBSTRU,44.991328,-93.305715
300,Bodily Force,Male,Black,Verbal Non-Compliance,Lynnhurst,Customer Trouble ,OBSTRU,44.905087,-93.288932
301,Bodily Force,Female,White,Verbal Non-Compliance,Harrison,Disturbance ,OBSTRU,44.983466,-93.308302
302,Chemical Irritant,Male,Black,Fled on Foot,Downtown West,Assault Report Only ,ASLT5,44.980833,-93.27196
303,Bodily Force,Male,Black,Fled on Foot,Near - North,Suspicious Person ,FLEEFT,44.997373,-93.287074
304,Police K9 Bite,Male,White,Commission of Crime,Loring Park,Burglary Dwlng In Progress ,BURGD,44.972816,-93.280525
305,Bodily Force,Male,White,Tensed,Waite Park,Damage Property-In Progress,OBSTRU,45.028618,-93.228153
306,Bodily Force,Male,Unknown,Fled in Vehicle,Willard - Hay,Suspicious Vehicle ,FLEE,45.00257,-93.310768
307,Bodily Force,Male,White,Tensed,Steven's Square - Loring Heights,Drunk/Intoxicated Person ,LOITER,44.965747,-93.274031
308,Chemical Irritant,Male,White,Tensed,Downtown West,Suspicious Person ,DISCON,44.977367,-93.271797
309,Bodily Force,Male,White,Fled in Vehicle,Near - North,Motor Vehicle Chase ,FLEE,44.984396,-93.304503
310,Bodily Force,Male,White,Commission of Crime,Corcoran,Domestic Abuse-In Progress ,NARC,44.947044,-93.244868
311,Bodily Force,Male,Black,Tensed,Midtown Phillips,Domestic Abuse-In Progress ,DASLT5,44.953739,-93.253096
312,Bodily Force,Male,Black,Commission of Crime,Near - North,Recover Vehicle ,RECVEH,44.995809,-93.281566
313,Taser,Male,White,Tensed,Lowry Hill East,Suspicious Person ,DISCON,44.948812,-93.297004
314,Bodily Force,Male,White,Tensed,Jordan,Traffic Law Enforcement ,OBSTRU,45.011441,-93.311431
315,Chemical Irritant,Male,Asian,Verbal Non-Compliance,Downtown West,Disturbance ,DISCON,44.981655,-93.271963
316,Bodily Force,Male,Black,Verbal Non-Compliance,Willard - Hay,Property Damage Accident ,ASLT2,45.006028,-93.311817
317,Bodily Force,Male,Asian,Fled on Foot,Folwell,Chase on Foot ,OBSTRU,45.021359,-93.307014
318,Bodily Force,Male,White,Commission of Crime,East Phillips,Suspicious Person ,OBSTRU,44.959744,-93.24702
319,Bodily Force,Male,Asian,Fled on Foot,Sumner - Glenwood,Theft ,BURGTL,44.98883,-93.29104
320,Bodily Force,Male,Black,Fled in Vehicle,Near - North,Traffic Law Enforcement ,FLEE,44.999153,-93.293351
321,Bodily Force,Male,Black,Fled on Foot,Jordan,Suspicious Person ,OBSTRU,45.010519,-93.305698
322,Bodily Force,Male,White,Tensed,Sheridan,Unwanted Person ,OBSTRU,45.002528,-93.264618
323,Chemical Irritant,Female,White,Commission of Crime,CARAG,Domestic Abuse-In Progress ,DISCON,44.948361,-93.293832
324,Bodily Force,Male,Black,Tensed,Hawthorne,Neighbor Trouble ,OBSTRU,45.013029,-93.290726
325,Improvised Weapon,Male,White,Fled on Foot,Waite Park,Unknown Trouble ,DASLT5,45.020074,-93.230707
326,Bodily Force,Male,Other / Mixed Race,Tensed,Nicollet Island - East Bank,Poss Personal Injury Acc ,DWI,44.988867,-93.253396
327,Bodily Force,Male,Black,Verbal Non-Compliance,Near - North,Loud Party ,FORCE,44.996865,-93.294112
328,Bodily Force,Male,Black,Fled on Foot,Steven's Square - Loring Heights,Narcotics ,NARC,44.962973,-93.287968
329,Bodily Force,Male,Black,Fled on Foot,Folwell,Recover Vehicle ,RECVEH,45.016752,-93.296221
330,Taser,Male,Black,Fled in Vehicle,Hawthorne,Traffic Law Enforcement ,FLEE,45.010125,-93.288002
331,Bodily Force,Male,White,Unspecified,Downtown West,Assist EMS Personnel ,DISCON,44.978407,-93.278819
332,Bodily Force,Male,White,Fled in Vehicle,Logan Park,Motor Vehicle Chase ,FLEE,45.007207,-93.252466
333,Police K9 Bite,Male,Black,Fled on Foot,Seward,Burglary Dwlng In Progress ,BURGD,44.960064,-93.236195
334,Chemical Irritant,Female,Black,Verbal Non-Compliance,East Phillips,Suspicious Vehicle ,WT,44.953746,-93.250552
335,Bodily Force,Male,Black,Tensed,Waite Park,Domestic Abuse-In Progress ,OBSTRU,45.032532,-93.247231
336,Bodily Force,Male,Native American,Tensed,Hawthorne,Domestic Abuse-In Progress ,OBSTRU,45.005359,-93.283381
337,Bodily Force,Male,White,Unspecified,Lyndale,Suspicious Vehicle ,NOINS,44.948355,-93.282185
339,Bodily Force,Male,White,Unspecified,Hawthorne,Person with a Gun ,FORCE,45.010125,-93.288002
340,Bodily Force,Male,White,Commission of Crime,Downtown West,Fight ,DISCON,44.979626,-93.272499
341,Police K9 Bite,Male,Asian,Fled on Foot,Folwell,Chase on Foot ,OBSTRU,45.021359,-93.307014
342,Bodily Force,Male,Black,Tensed,Willard - Hay,Domestic Abuse-In Progress ,DASLT5,44.998781,-93.310132
343,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,DISCON,44.981648,-93.273116
344,Bodily Force,Male,Black,Commission of Crime,Downtown West,Fight ,OBSTRU,44.981655,-93.271963
345,Bodily Force,Male,Black,Fled on Foot,Ventura Village,Suspicious Person ,OBSTRU,44.963324,-93.265106
346,Taser,Male,Black,Fled on Foot,Holland,Suspicious Vehicle ,FLEEFT,45.012669,-93.263123
347,Bodily Force,Male,White,Fled on Foot,Lowry Hill East,Damage Property-In Progress,OBSTRU,44.955542,-93.288675
348,Chemical Irritant,Female,Black,Unspecified,Downtown West,Fight ,DISCON,44.982469,-93.271954
349,Taser,Male,White,Tensed,Hawthorne,Stabbing ,DASLT2,45.008632,-93.291785
350,Taser,Male,Black,Verbal Non-Compliance,Cleveland,Disturbance ,ASLT5,45.014157,-93.308244
351,Bodily Force,Male,Black,Commission of Crime,Downtown West,Fight ,OBSTRU,44.981648,-93.273116
352,Bodily Force,Male,Native American,Commission of Crime,Marcy Holmes,Suspicious Person ,DASLT5,44.990909,-93.251577
353,Bodily Force,Male,Black,Assaulted Officer,Willard - Hay,Officer Needs Help ,FLEE,44.988613,-93.317204
354,Bodily Force,Female,Black,Assaulted Officer,Bottineau,Suspicious Person ,DISCON,45.008036,-93.271699
355,Taser,Male,White,Commission of Crime,East Phillips,Suspicious Person ,OBSTRU,44.959744,-93.24702
356,Bodily Force,Male,Black,Fled on Foot,Willard - Hay,Suspicious Person ,NARC,44.999113,-93.301919
357,Taser,Male,White,Tensed,Whittier,Suspicious Person ,ROBPER,44.953739,-93.287418
358,Bodily Force,Male,Black,Fled on Foot,McKinley,Suspicious Person ,FLEEFT,45.018526,-93.291183
359,Bodily Force,Male,Black,Fled in Vehicle,Ventura Village,Suspicious Vehicle ,FLEE,44.961813,-93.251092
360,Bodily Force,Male,Black,Unspecified,Central,Suspicious Vehicle ,RECVEH,44.945482,-93.274109
361,Bodily Force,Male,White,Tensed,Sheridan,Unwanted Person ,OBSTRU,45.002528,-93.264618
362,Police K9 Bite,Male,Black,Fled in Vehicle,Steven's Square - Loring Heights,Motor Vehicle Chase ,FLEE,44.963321,-93.270211
363,Bodily Force,Male,Black,Fled in Vehicle,Downtown West,Traffic Law Enforcement ,FLEE,44.978019,-93.277025
364,Bodily Force,Male,Black,Tensed,Audubon Park,Assault in Progress ,FORCE,45.021301,-93.244784
365,Bodily Force,Male,White,Verbal Non-Compliance,Downtown West,Disturbance ,ASLT5,44.979187,-93.273109
366,Bodily Force,Male,White,Tensed,East Phillips,Assault in Progress ,OBSTRU,44.952851,-93.24865
367,Bodily Force,Male,Black,Unspecified,Bancroft,Traffic Law Enforcement ,NARC,44.932344,-93.260605
368,Chemical Irritant,Male,Black,Tensed,Downtown West,Suspicious Person ,DISCON,44.980065,-93.271883
369,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Fight ,ASLT4,44.979626,-93.272499
370,Bodily Force,Male,Black,Unspecified,Willard - Hay,Suspicious Person ,OBSTRU,44.991328,-93.305715
371,Bodily Force,Male,Black,Fled on Foot,McKinley,Suspicious Vehicle ,FLEEFT,45.021443,-93.282003
372,Bodily Force,Male,Black,Commission of Crime,Downtown West,Disturbance ,DISCON,44.979626,-93.272499
373,Bodily Force,Male,Black,Commission of Crime,Hawthorne,Suspicious Person ,NARC,44.999677,-93.2802
374,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Fight ,OBSTRU,44.984107,-93.272736
375,Bodily Force,Male,Black,Tensed,Downtown West,Fight ,FORCE,44.980808,-93.273141
376,Taser,Male,Native American,Commission of Crime,Midtown Phillips,Unknown Trouble ,DISCON,44.958236,-93.252392
377,Bodily Force,Male,White,Tensed,Whittier,Burglary Dwlng In Progress ,BURGD,44.951377,-93.276605
378,Bodily Force,Female,Black,Tensed,Downtown West,Disturbance ,DISCON,44.981232,-93.268587
379,Bodily Force,Male,White,Tensed,East Phillips,Assault in Progress ,OBSTRU,44.952851,-93.24865
380,Chemical Irritant,Male,Black,Unspecified,Downtown West,Fight ,FORCE,44.981648,-93.273116
381,Bodily Force,Male,White,Verbal Non-Compliance,Morris Park,Domestic ,OBSTRU,44.903566,-93.218444
382,Chemical Irritant,Male,Black,Assaulted Officer,Victory,Fight ,ASLT4,45.034413,-93.305988
383,Baton,Male,Black,Verbal Non-Compliance,Lynnhurst,Customer Trouble ,OBSTRU,44.905087,-93.288932
384,Chemical Irritant,Female,Black,Tensed,Bryant,Traffic Law Enforcement ,FLEEFT,44.934156,-93.265644
385,Bodily Force,Male,White,Assaulted Officer,Seward,Fight ,OBSTRU,44.963381,-93.242506
386,Bodily Force,Female,White,Verbal Non-Compliance,Downtown East,Disturbance ,DISCON,44.97231,-93.255754
387,Bodily Force,Female,Other / Mixed Race,Tensed,Como,Domestic ,RORDER,44.989651,-93.230122
388,Chemical Irritant,Male,Black,Tensed,North Loop,Suspicious Person ,TRSPAS,44.982827,-93.274773
389,Bodily Force,Male,Black,Commission of Crime,Downtown West,Disturbance ,DISCON,44.981655,-93.271963
390,Taser,Male,Black,Tensed,Phillips West,Suspicious Vehicle ,NARC,44.9609,-93.267033
391,Bodily Force,Male,Black,Tensed,Elliot Park,Suspicious Person ,NARC,44.966723,-93.262552
392,Bodily Force,Male,Other / Mixed Race,Verbal Non-Compliance,Marcy Holmes,Fight ,OBSTRU,44.980009,-93.236171
393,Firearm,Male,Black,Commission of Crime,Downtown West,Suspicious Vehicle ,DAMMV,44.981655,-93.271963
394,Bodily Force,Male,White,Tensed,Hawthorne,Stabbing ,DASLT2,45.008632,-93.291785
395,Bodily Force,Male,Black,Commission of Crime,Downtown West,Fight ,OBSTRU,44.981648,-93.273116
396,Bodily Force,Male,White,Verbal Non-Compliance,Waite Park,Domestic Abuse-In Progress ,911INT,45.021188,-93.227596
397,Bodily Force,Male,Black,Commission of Crime,St. Anthony West,Prowler ,OBSTRU,44.992403,-93.266452
398,Bodily Force,Female,Native American,Tensed,East Phillips,Assault in Progress ,DASLT5,44.959225,-93.247208
399,Bodily Force,Male,Black,Unspecified,Jordan,Robbery Dwell in Progress ,BURGD,45.011442,-93.313983
400,Bodily Force,Male,Black,Fled in Vehicle,Near - North,Traffic Law Enforcement ,FLEE,44.991498,-93.30258
401,Taser,Male,White,Unspecified,Audubon Park,Unknown Trouble ,CIC,45.014969,-93.24645
402,Taser,Male,Black,Tensed,Downtown West,Disturbance ,DISCON,44.981232,-93.268587
403,Bodily Force,Male,Black,Fled on Foot,Folwell,Traffic Law Enforcement ,FLEE,45.016752,-93.296221
404,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Fight ,ASLT4,44.979626,-93.272499
405,Bodily Force,Male,Black,Fled on Foot,Jordan,Chase on Foot ,FLEEFT,45.006856,-93.299367
406,Bodily Force,Male,Black,Commission of Crime,Downtown West,Disturbance ,DISCON,44.979626,-93.272499
407,Bodily Force,Male,White,Verbal Non-Compliance,Lyndale,Unwanted Person ,FORCE,44.948347,-93.278808
408,Bodily Force,Male,White,Unspecified,Sheridan,Traffic Law Enforcement ,WEAP,45.004446,-93.268892
409,Chemical Irritant,Female,Black,Verbal Non-Compliance,Seward,Attempt Pick-Up ,OBSTRU,44.962751,-93.239666
410,Bodily Force,Male,White,Tensed,Waite Park,Damage Property-In Progress,OBSTRU,45.028618,-93.228153
411,Bodily Force,Male,Black,Fled on Foot,Willard - Hay,Suspicious Vehicle ,FLEE,45.00257,-93.310768
412,Bodily Force,Male,White,Verbal Non-Compliance,Hawthorne,Traffic Law Enforcement ,NARC,44.999111,-93.281842
413,Bodily Force,Male,Black,Fled on Foot,Willard - Hay,Suspicious Person ,FLEEFT,45.002013,-93.314608
414,Bodily Force,Male,White,Fled in Vehicle,Near - North,Motor Vehicle Chase ,FLEE,44.984396,-93.304503
415,Bodily Force,Male,Black,Tensed,Hawthorne,Neighbor Trouble ,OBSTRU,45.013029,-93.290726
416,Taser,Male,Black,Tensed,Central,Traffic Law Enforcement ,OBSTRU,44.937458,-93.274069
417,Taser,Male,Black,Fled on Foot,Jordan,Attempted Suicide ,CIC,45.008656,-93.295576
418,Bodily Force,Male,Black,Tensed,Jordan,Traffic Law Enforcement ,NARC,45.013232,-93.306344
419,Bodily Force,Male,Black,Verbal Non-Compliance,Jordan,Traffic Law Enforcement ,FLEE,44.999886,-93.298885
420,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Person ,RECVEH,45.005356,-93.284931
421,Taser,Male,White,Tensed,Downtown West,Suspicious Person ,ASLT5,44.979295,-93.27023
422,Bodily Force,Male,Black,Unspecified,Willard - Hay,Suspicious Person ,OBSTRU,44.991328,-93.305715
423,Bodily Force,Male,Black,Fled on Foot,Ventura Village,Suspicious Person ,OBSTRU,44.963324,-93.265106
424,Bodily Force,Female,Black,Commission of Crime,Downtown West,Fight ,OBSTRU,44.984107,-93.272736
425,Chemical Irritant,Male,Black,Tensed,St. Anthony East,Disturbance ,OBSTRU,44.994219,-93.252426
426,Bodily Force,Male,White,Verbal Non-Compliance,Downtown West,Drunk/Intoxicated Person ,WT,44.975433,-93.273422
427,Taser,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,ASLT5,44.978407,-93.278819
428,Bodily Force,Male,Black,Tensed,Cleveland,Domestic Abuse-In Progress ,DASLT5,45.015051,-93.312704
429,Bodily Force,Female,White,Verbal Non-Compliance,Marcy Holmes,Traffic Law Enforcement ,OBSTRU,44.989811,-93.252446
430,Bodily Force,Male,Black,Commission of Crime,Downtown West,Fight ,ASLT4,44.979626,-93.272499
431,Taser,Male,Black,Verbal Non-Compliance,Downtown West,Disturbance ,DISCON,44.978407,-93.278819
432,Bodily Force,Male,White,Fled on Foot,Hawthorne,Traffic Law Enforcement ,OBSTRU,45.012534,-93.280631
433,Taser,Male,White,Tensed,Downtown West,Suspicious Person ,DISCON,44.981655,-93.271963
434,Bodily Force,Male,Black,Fled on Foot,Audubon Park,Suspicious Person ,WEAP,45.014969,-93.24645
435,Taser,Male,Native American,Unspecified,Longfellow,Unwanted Person ,OBSTRU,44.952979,-93.236084
436,Bodily Force,Male,Black,Fled on Foot,Ventura Village,Emotionally Disturb Person ,CIC,44.961364,-93.261097
437,Bodily Force,Male,White,Fled on Foot,Lowry Hill East,Damage Property-In Progress,OBSTRU,44.955542,-93.288675
438,Bodily Force,Male,Black,Fled in Vehicle,Jordan,Suspicious Vehicle ,FLEE,45.011433,-93.307598
439,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Person ,RECVEH,45.005356,-93.284931
440,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,OBSTRU,44.981655,-93.271963
441,Taser,Male,Native American,Tensed,King Field,Assist EMS Personnel ,CIC,44.936828,-93.277915
442,Bodily Force,Male,Black,Verbal Non-Compliance,Central,Fight ,OBSTRU,44.942269,-93.270222
443,Bodily Force,Female,White,Verbal Non-Compliance,Harrison,Disturbance ,OBSTRU,44.983466,-93.308302
444,Bodily Force,Male,Black,Tensed,Downtown West,Unknown Wireless/Cell Phone,CIC,44.976608,-93.271559
445,Bodily Force,Male,Black,Fled on Foot,Downtown West,Code 3 ,ASLT5,44.977582,-93.275347
446,Bodily Force,Male,Black,Verbal Non-Compliance,Hawthorne,Domestic ,OBSTRU,45.004803,-93.284158
